Action,Description,Filter,Message,Name,RegEx,Sev,ThresholdPerDay,ThresholdPerMin
There is no workaround. Refer Bug id- CSCdv40244.,This symptom is observed on a Cisco 7206VXR device that is using an eight-port multichannel T1 port adapter (PA-MC-8T1).,N,POT1E1-3-FWFATAL,POT1E1-3-FWFATAL,*POT1E1-3-FWFATAL*,3,0,0
Clear each E1 T1 controller individually.,"If the clear counters EXEC command is entered from a Secure Shell (SSH) connection on a device with E1 T1 controllers, a  SYS-3-CPUHOG  error message might be exhibited. This condition occurs when the clear counters command fails on more than one E1 T1 controller with a  POT1E1-3-MBOXSEND  error.",N,POT1E1-3-MBOXSEND,POT1E1-3-MBOXSEND,*POT1E1-3-MBOXSEND*,3,0,0
The suggestion is to check the power supply failure and troubleshoot the powersupply if required.,The log ocurs when there is a powersupply failure.,N,POWER_SUPPLIES-3-PWR_A_FAIL,POWER_SUPPLIES-3-PWR_A_FAIL,*POWER_SUPPLIES-3-PWR_A_FAIL*,3,0,0
It is recommended reseat the power module.,This message occurs when power supplied is not detected.,N,POWER_SUPPLIES-3-PWR_B_FAIL,POWER_SUPPLIES-3-PWR_B_FAIL,*POWER_SUPPLIES-3-PWR_B_FAIL*,3,0,0
It is recommended to replace the power module.,This message indicates that power supply is not functioning.,N,POWER_SUPPLIES-3-PWR_FAIL,POWER_SUPPLIES-3-PWR_FAIL,*POWER_SUPPLIES-3-PWR_FAIL*,3,0,0
This is an informational message.,The power supply is functioning,N,POWER_SUPPLIES-5-PWR_A_OK,POWER_SUPPLIES-5-PWR_A_OK,*POWER_SUPPLIES-5-PWR_A_OK*,5,0,0
This is an informational message.,The power supply is functioning,N,POWER_SUPPLIES-5-PWR_B_OK,POWER_SUPPLIES-5-PWR_B_OK,*POWER_SUPPLIES-5-PWR_B_OK*,5,0,0
No action is required.,This message indicates that the specific power supply is functioning.,Y,POWER_SUPPLIES-5-PWR_OK,POWER_SUPPLIES-5-PWR_OK,*POWER_SUPPLIES-5-PWR_OK*,5,0,0
It is an informational message. No action is required.,Power supply has been removed.,Y,POWER_SUPPLIES-5-PWR_REMOVED,POWER_SUPPLIES-5-PWR_REMOVED,*POWER_SUPPLIES-5-PWR_REMOVED*,5,0,0
No action is required.,The specified power supply has failed.,Y,POWER-3-PS_FAIL,POWER-3-PS_FAIL,*POWER-3-PS_FAIL*,3,0,0
"Copy the System Message exactly as it appears on the console or in the system log, collect logs mentioned in required_info , contact your Cisco technical support representative, and provide the representative with the gathered information.",The AC DC detection of powershelf failed due to wrong value read from EEPROM or read from wrong location of EEPROM.,N,POWERMGR-2-AC_DC_FAILURE,POWERMGR-2-AC_DC_FAILURE,*POWERMGR-2-AC_DC_FAILURE*,3,0,0
"If this message recurs, copy the System Message exactly as it appears on the console or in the system log, collect logs mentioned in required_info , contact your Cisco technical support representative, and provide the representative with the gathered information.","No alarmcard or busboard module was found available to talk to the PEMs. This might occur if the MBus agent associated with that module became temporarily unavailable. As such, this error message should only be a cause for concern if it appears repeatedly, over a period of minutes. If it appears just once, it indicates a transient condition, and may be safely ignored. Lastly, note that if this message is seen during chassis boot up, the problem is far more serious, as during that time, the path to the PEMs is assumed stable. In this case, powershelf discovery may fail, and as a result, some linecards may be left in unpowered state.",N,POWERMGR-2-CANNOT_TALK,POWERMGR-2-CANNOT_TALK,*POWERMGR-2-CANNOT_TALK*,3,0,0
"If this message recurs, copy the System Message exactly as it appears on the console or in the system log, collect logs mentioned in required_info , contact your Cisco technical support representative, and provide the representative with the gathered information.","Power Manager subsystem failed during startup. This was probably due to lack of system resources. For example low memory. If the problem is seen, sysldr will be restarted and if problem persists, RP will be restarted.",N,POWERMGR-2-INITFAIL,POWERMGR-2-INITFAIL,*POWERMGR-2-INITFAIL*,3,0,0
"If this message recurs, copy the System Message exactly as it appears on the console or in the system log, collect logs mentioned in required_info , contact your Cisco technical support representative, and provide the representative with the gathered information.","Power Manager subsystem failed during startup. This was probably due to lack of system memory resources. If the problem is seen, sysldr will be restarted and if problem persists, RP will be restarted.",N,POWERMGR-2-INITMEMFAIL,POWERMGR-2-INITMEMFAIL,*POWERMGR-2-INITMEMFAIL*,3,0,0
"If there is low power budget condition with marginal(10-20W)shortage available power we can safely ignore message. If not ensure below - Check if all the PEM s are populated and actively supplying power using show environment power-supply - if not the above case, take management decision to bring one more LC s down ensure out of low power budget condition","The powershelf does not have adequate capacity to drive the card which is inserted or POWERED_UP newly. This may occur during power-mgr initialization, if in-use power is more than capacity.",N,POWERMGR-2-LOW_POWER,POWERMGR-2-LOW_POWER,*POWERMGR-2-LOW_POWER*,3,0,0
"This message is safe to ignore during device booting. If this message continuing, copy the System Message exactly as it appears on the console or in the system log, collect logs mentioned in required_info , contact your Cisco technical support representative, and provide the representative with the gathered information.","Alarmcard or busboard module was found to be resetting or still running from ROM. This message is seen during chassis boot up. In this case, test chassis is assumed and all Line cards will boot up as default power is assumed. However note that power manager would still display errors and envmon module would also display powershelf related errors",N,POWERMGR-2-NO_PATH,POWERMGR-2-NO_PATH,*POWERMGR-2-NO_PATH*,3,0,0
"If there is low power budget condition with marginal(10-20W)shortage available power we can safely ignore message. If not ensure below - Check if all the PEM s are populated and actively supplying power using show environment power-supply - if not the above case, take management decision to bring one more LC s down ensure out of low power budget condition",The power calculated in use by the chassis exceeds that available by the powershelf. This condition could result in an outage of the chassis if action is not immediately taken.,N,POWERMGR-2-OVERBUDGET,POWERMGR-2-OVERBUDGET,*POWERMGR-2-OVERBUDGET*,3,0,0
"If there is low power budget condition with marginal(10-20W)shortage available power we can safely ignore message. If not ensure below - Check if all the PEM s are populated and actively supplying power using show environment power-supply - if not the above case, take management decision to bring one more LC s down ensure out of low power budget condition",The powershelf does not have adequate capacity to drive the entire chassis. This is occurred during power-mgr initialization.,N,POWERMGR-2-POWER_INSUFFICIENT,POWERMGR-2-POWER_INSUFFICIENT,*POWERMGR-2-POWER_INSUFFICIENT*,3,0,0
"The installed power supplies (i.e., PEMs) could not be detected. To allow the chassis to come up, a set of conservative assumptions have been used for calculating power availability and consumption. Some line cards may be left in an unpowered state as a result. Copy the error message exactly as it appears on the console or in the system log. Research and attempt to resolve the error using the Output Interpreter https: www.cisco.com cgi-bin Support OutputInterpreter home.pl. If you still require assistance, open a case with the Technical Assistance Center.",Unable to determine the type of Power Entry Modules (PEMs) using failsafe assumptions.,N,POWERMGR-3-UNKNOWN_TYPE,POWERMGR-3-UNKNOWN_TYPE,*POWERMGR-3-UNKNOWN_TYPE*,3,0,0
This is an informational message. No action required.,This message indicates that power entity module is down.,N,POWERMGR-4-PEM_DOWN,POWERMGR-4-PEM_DOWN,*POWERMGR-4-PEM_DOWN*,4,0,0
"Check the power cord and if installed correctly, remove and reinstall the PEM. If the error persists, contact customer TAC.","The power supply specified has been installed in the chassis but is unpowered, most likely because of an unconnected power cord.",N,POWERMGR-4-UNPOWERED,POWERMGR-4-UNPOWERED,*POWERMGR-4-UNPOWERED*,4,0,0
"Copy the error message exactly as it appears on the console or in the system log, call your Cisco technical support representative and provide the representative with the gathered information.","Both legacy as well as the higher-wattage intelligent PEMs have been detected in the chassis at the same time. While this is a supported configuration, it is not recommended, as it may result in the legacy PEM eclipsing the intelligent PEM by reducing the overall powershelf wattage to that of the former, when running in redundant mode. The formal recommendation is to have both PEMs be of the same type.",N,POWERMGR-5-MIXED_PEMS,POWERMGR-5-MIXED_PEMS,*POWERMGR-5-MIXED_PEMS*,5,0,0
Advised that this is a cosmetic issue in relation to the SUP_dSUM sensor value.,"The message basically represents the difference in temperature between the several sensors and the actual air entering the device chassis. 
",N,POWERMGR-5-REMOVED,POWERMGR-5-REMOVED,*POWERMGR-5-REMOVED*,5,0,0
This is an informational message no action is required.,The power supply specified has been installed in the chassis and is now active.,Y,POWERMGR-6-INSERTED,POWERMGR-6-INSERTED,*POWERMGR-6-INSERTED*,6,0,0
"It is suggested to restart the device and monitor for 24 hours. Still the problem occurs, Suggestion is to raise RMA.",The message indicates that Internal Power Supply Unit has failed.,N,POWERMGR-6-PEM_UP,POWERMGR-6-PEM_UP,*POWERMGR-6-PEM_UP*,6,0,0
"Contact TAC with the following output show logging, show tech-support, show issu session and show issu negotiated version commands and your pertinent troubleshooting logs.",EnergyWise ISSU client does not have a valid registered session.,N,POWERNET_ISSU-3-INVALID_SESSION,POWERNET_ISSU-3-INVALID_SESSION,*POWERNET_ISSU-3-INVALID_SESSION*,3,0,0
It is recommended to contact TAC for further investigation.,This message indicates that e I2C slave device is not found.,N,PQ3_I2C-3-I2C_ERROR,PQ3_I2C-3-I2C_ERROR,*PQ3_I2C-3-I2C_ERROR*,3,0,0
"If the interface is Fast Ethernet, verify that both peers are in the same duplex mode. For regular Ethernet, the system should recover. No action is required.",Late collisions occurred on the Ethernet Fast Ethernet interface.,Y,PQ3_TSEC-5-LATECOLL,PQ3_TSEC-5-LATECOLL,*PQ3_TSEC-5-LATECOLL*,5,0,0
No message is required,This is an informational message,Y,PQUICC_ETHERNET-5-EXCESSCOLL,PQUICC_ETHERNET-5-EXCESSCOLL,*PQUICC_ETHERNET-5-EXCESSCOLL*,5,0,0
Please contact Cisco TAC.,This is general message.,N,PROC_MGR-2-MESG,PROC_MGR-2-MESG,*PROC_MGR-2-MESG*,2,0,0
No action is required – this message is an information only.,Message indicates ProcMgr requested shutdown for all managed processes is being executed via SIGTERM (Signal Terminate).,N,PROCMGR-3-SHUTDOWNREQUESTED,PROCMGR-3-SHUTDOWNREQUESTED,*PROCMGR-3-SHUTDOWNREQUESTED*,3,0,0
: No action is required,This is the last message from ProcMgr before final shutdown,N,PROCMGR-6-FINALSHUTDOWN,PROCMGR-6-FINALSHUTDOWN,*PROCMGR-6-FINALSHUTDOWN*,6,0,0
No action is required – this message is for information only.,The master ProcMgr is monitoring the ProcMgr worker process.,N,PROCMGR-6-MASTER_RUNNING,PROCMGR-6-MASTER_RUNNING,*PROCMGR-6-MASTER_RUNNING*,6,0,0
"No action is required, this message is for information only.",The ProcMgr master process has started running.,Y,PROCMGR-6-MASTER_STARTED,PROCMGR-6-MASTER_STARTED,*PROCMGR-6-MASTER_STARTED*,6,0,0
No action is required this message is for information only.,"The specified process has stopped, and ProcMgr will not restart it. This could be due to the process being deconfigured.",N,PROCMGR-6-PROCESS_NOTRESTARTING,PROCMGR-6-PROCESS_NOTRESTARTING,*PROCMGR-6-PROCESS_NOTRESTARTING*,6,0,0
This is an informational message no action is required.,"The extension updates the SuperServer agent. As a result, the agent will be restarted and this does not impact switch operation.",Y,PROCMGR-6-PROCESS_RESTART,PROCMGR-6-PROCESS_RESTART,*PROCMGR-6-PROCESS_RESTART*,6,0,0
No action is required. This is information message.,The message indicates that the SuperServer agent is started.,Y,PROCMGR-6-PROCESS_STARTED,PROCMGR-6-PROCESS_STARTED,*PROCMGR-6-PROCESS_STARTED*,6,0,0
This is an informational message no action is required.,"The extension updates the SuperServer agent. As a result, the agent will be restarted and this does not impact switch operation.",Y,PROCMGR-6-PROCESS_TERMINATED,PROCMGR-6-PROCESS_TERMINATED,*PROCMGR-6-PROCESS_TERMINATED*,6,0,0
"No action is required, this message is for information only.","ProcMgr is shutting down, all processes under its management will be terminated with a SIGKILL. The message lists the affected process IDs.",N,PROCMGR-6-SHUTDOWN_SIGKILLALL,PROCMGR-6-SHUTDOWN_SIGKILLALL,*PROCMGR-6-SHUTDOWN_SIGKILLALL*,6,0,0
This is an information message. No action is required.,This message indicates that Process Manager delivered SIGKILL to the listed processes to allow it to shutdown gracefully.,Y,PROCMGR-6-SHUTDOWN_SIGKILLPROC,PROCMGR-6-SHUTDOWN_SIGKILLPROC,*PROCMGR-6-SHUTDOWN_SIGKILLPROC*,6,0,0
"This message is expected when the system is being reconfigured. If this message appears frequently when the system is not being reconfigured, there may be something wrong with the process.","ProcMgr is terminating the specified process because it is not behaving as expected, has been reconfigured, or has been configured to stop.",N,PROCMGR-6-TERMINATE_PROCESS_SIGKILL,PROCMGR-6-TERMINATE_PROCESS_SIGKILL,*PROCMGR-6-TERMINATE_PROCESS_SIGKILL*,6,0,0
This is an information message. No action is required.,"The message indicates that a running process has been configured to stop, or its configuration has changed.",Y,PROCMGR-6-TERMINATE_RUNNING_PROCESS,PROCMGR-6-TERMINATE_RUNNING_PROCESS,*PROCMGR-6-TERMINATE_RUNNING_PROCESS*,6,0,0
"No action is required, this message is for information only.",The ProcMgr worker thread is ready to begin its work,N,PROCMGR-6-WORKER_COLDSTART,PROCMGR-6-WORKER_COLDSTART,*PROCMGR-6-WORKER_COLDSTART*,6,0,0
"In such cases, remove the preprovisioning configuration from the incorrect FEXs and Disconnect the Offline FEXs, shut down the fabric ports on the Device, connect the Offline FEXs one-by-one, unshut the fabric ports in the Device.",This message indicates that the FEXs were pre-provisioned with wrong models.,N,PROVISION-2-PREPROV_MODULE_MISMATCH,PROVISION-2-PREPROV_MODULE_MISMATCH,*PROVISION-2-PREPROV_MODULE_MISMATCH*,2,0,0
NA, NA,Y,PROVISION-3-REPLAY_FAILED,PROVISION-3-REPLAY_FAILED,*PROVISION-3-REPLAY_FAILED*,3,0,0
"If the error happens frequently, it is advisable to replace the processor board.","This error message displays when the device receives data with bad parity. Data with bad parity is reported by several of the parity-checking devices for any read or write operation performed on the Cisco 12000 Series Internet device. The PRP uses Single Bit Error Correction and Multi-bit Error Detection ECC to share memory (SDRAM). A single bit error in SDRAM is corrected automatically, and the system continues to operate as normal. Single-Bit Errors (SBE) are corrected by the Error Correction Circuit (ECC) and do not affect the functionality of the PRP. No action is required for single-bit errors unless they happen frequently.",N,PRP-3-SBE_DATA,PRP-3-SBE_DATA,*PRP-3-SBE_DATA*,3,0,0
Cisco TAC if the message is reoccurring.,A forced reload may occur on an ISE line card and the line card may generate this error message.,N,PRP-4-ASM_CORRUPT_PKT,PRP-4-ASM_CORRUPT_PKT,*PRP-4-ASM_CORRUPT_PKT*,4,0,0
Collect the output of the show logging and show tech-support commands and contact TAC.,Persistent general error: Is API usable  thrown on console.,N,PRST_VBL-3-GENERAL,PRST_VBL-3-GENERAL,*PRST_VBL-3-GENERAL*,3,0,0
This is an operational message.,Persistent general error whereas reload of device or switchover to standby.,N,PRST_VBL-SP-3-GENERAL,PRST_VBL-SP-3-GENERAL,*PRST_VBL-SP-3-GENERAL*,3,0,0
"Enter the show trunk command to verify that VTP pruning is working for the trunk. If it is not working, disable and then enable the trunk port. If the message reappears, contact your technical support representative.","This message indicates that an intermediate error occurred and VTP pruning might or might not work on the trunk.
",Y,PRUNING-4-NOTRUNK,PRUNING-4-NOTRUNK,*PRUNING-4-NOTRUNK*,4,0,0
"• Check that cables are seated properly and terminal blocks are wired correctly.
• Power up the circuit breaker and the power supply.
• If the error condition persists, replace the power supply.
",This indicates the cable connected to the specified DC power failed due to loose connectivity or cable fault.,N,PS-3-DCOUTPUTVOLTFAIL,PS-3-DCOUTPUTVOLTFAIL,*PS-3-DCOUTPUTVOLTFAIL*,3,0,0
No action is required., This message indicates that redundant Power System DC Output Voltage condition is now normal,Y,PS-3-DCOUTPUTVOLTOK,PS-3-DCOUTPUTVOLTOK,*PS-3-DCOUTPUTVOLTOK*,3,0,0
Replace the power supply.,The power system has experienced a fan failure condition.,N,PS-3-FANFAIL,PS-3-FANFAIL,*PS-3-FANFAIL*,3,0,0
No action is required.,The fan tray module is operating normally.,Y,PS-3-FANOK,PS-3-FANOK,*PS-3-FANOK*,3,0,0
Configure the system for : service internal no environment monitor,Log messages indicating a (false) failure with the power system.,N,PS-3-MULTFAIL,PS-3-MULTFAIL,*PS-3-MULTFAIL*,3,0,0
No action is required.,This message indicates that the power supply is ok.,Y,PS-3-PSOK,PS-3-PSOK,*PS-3-PSOK*,3,0,0
"Make sure that the operating temperatures does not exceeded over prescribed. If this condition persists, the power-supply thermal monitor automatically shuts down the device. Call your Cisco technical support representative for help, if necessary.",This message is thrown due to power supply is operating at an abnormally high temperature.,N,PS-3-THERMAL,PS-3-THERMAL,*PS-3-THERMAL*,3,0,0
It is recommended to raise a case with TAC for further investigation,"

The PSE hardware accelerator driver failed to initialize the accelerator at the slot specified in the error message at the specified point.",N,PSE_HW-1-INITFAIL,PSE_HW-1-INITFAIL,*PSE_HW-1-INITFAIL*,1,0,0
This issue can be avoided by configuring full FCIP core dumps using the ips core dump full CLI configuration command. For further assistance raise TAC.,This issue occurs due to FCIP(Fibre Channel over IP) engine core files being stored in the incorrect directory.,N,PSS-0-PSS_WRITE_DATA_FAILURE,PSS-0-PSS_WRITE_DATA_FAILURE,*PSS-0-PSS_WRITE_DATA_FAILURE*,0,0,0
"It is suggested to check for fan blockage, warm environment, other devices blowing warm air into the intakes, etc. Check if there is an increment in overall room temperature. Check the air condition where the device is placed.",The message is a warning that the temp is at the warning level.This situation is caused by external environmental issue or fan tray hardware failure.,N,PSS-0-PSS_WRITE_LOG_FAILURE,PSS-0-PSS_WRITE_LOG_FAILURE,*PSS-0-PSS_WRITE_LOG_FAILURE*,0,0,0
No action is required.,PSS error log,Y,PSS-2-PSS_ERROR,PSS-2-PSS_ERROR,*PSS-2-PSS_ERROR*,2,0,0
No action is required.,PTP(Precision Time Protocol) correction exceeds the threshold and discarding the correction value.,Y,PTP-2-PTP_BAD_CORRECTION_DETECTED,PTP-2-PTP_BAD_CORRECTION_DETECTED,*PTP-2-PTP_BAD_CORRECTION_DETECTED*,2,0,0
No action is required.,PTP GM changed.,Y,PTP-2-PTP_GM_CHANGE,PTP-2-PTP_GM_CHANGE,*PTP-2-PTP_GM_CHANGE*,2,0,0
 No action is required.,This message is seen when PTP is disabled on the interface.,Y,PTP-2-PTP_INTF_DISABLED,PTP-2-PTP_INTF_DISABLED,*PTP-2-PTP_INTF_DISABLED*,2,0,0
No action is required.,PTP (Precision Time Protocol) not sending follow up on the interface.,Y,PTP-2-PTP_NO_SEND_FOLLOWUP,PTP-2-PTP_NO_SEND_FOLLOWUP,*PTP-2-PTP_NO_SEND_FOLLOWUP*,2,0,0
No action is required.,PTP Port state change,N,PTP-2-PTP_STATE_CHANGE,PTP-2-PTP_STATE_CHANGE,*PTP-2-PTP_STATE_CHANGE*,2,0,0
No action is required.,This message indicates a grandmaster change.,Y,PTP-4-GRANDMASTER_CHANGE,PTP-4-GRANDMASTER_CHANGE,*PTP-4-GRANDMASTER_CHANGE*,4,0,0
It is a notification message. No action is required.,This message indicates that PTP (Precision Time Protocol) has changed its clock status to phase aligned.,Y,PTP-6-CLK_STATUS_UPDATE,PTP-6-CLK_STATUS_UPDATE,*PTP-6-CLK_STATUS_UPDATE*,6,0,0
NA, NA,Y,PVDM-6-UNSUPPORTED,PVDM-6-UNSUPPORTED,*PVDM-6-UNSUPPORTED*,6,0,0
This message is informational. No action is required.,"This message indicates that the local, remote patch has been added.",Y,PW-6-LOCAL_REMOTE_PATCH_ADDED,PW-6-LOCAL_REMOTE_PATCH_ADDED,*PW-6-LOCAL_REMOTE_PATCH_ADDED*,6,0,0
This message is informational. No action is required.,"This message indicates that the local, remote patch is removed.",Y,PW-6-PATCH_REMOVED,PW-6-PATCH_REMOVED,*PW-6-PATCH_REMOVED*,6,0,0
"Copy the error message exactly as it appears on the console or in the system log, call your Cisco technical support representative and provide the representative with the gathered information. If it is a hardware issue, go for the replacement.",This error is arisen due to faulty PSU.,N,PWRMGMT-3-PSU_STATUS_FAILED,PWRMGMT-3-PSU_STATUS_FAILED,*PWRMGMT-3-PSU_STATUS_FAILED*,3,0,0
"Check for other log messages detailing why the power supply originally failed. While the power supply has recovered, the problem should be fixed as soon as possible to avoid potential downtime in the future.",The power supply had previously failed but is now ok and is once again providing power to the system.,N,PWRMGMT-3-PSU_STATUS_OK,PWRMGMT-3-PSU_STATUS_OK,*PWRMGMT-3-PSU_STATUS_OK*,3,0,0
"Check the input power source to the power supply and that the power supply is properly plugged in. If the problem persists, contact your support representative. Otherwise, no action is required.",The power supply has lost input power.,Y,PWRMGMT-4-INPUT_POWER_LOSS,PWRMGMT-4-INPUT_POWER_LOSS,*PWRMGMT-4-INPUT_POWER_LOSS*,4,0,0
No action is required. This message is for information only.,"The power supply had previously lost input power, but is now ok.",Y,PWRMGMT-4-INPUT_POWER_OK,PWRMGMT-4-INPUT_POWER_OK,*PWRMGMT-4-INPUT_POWER_OK*,4,0,0
"Copy the message exactly as it appears on the console or in the system log. Research and attempt to resolve the issue using the tools and utilities provided at http: www.cisco.com tac. With some messages, these tools and utilities will supply clarifying information. Also perform a search of the Bug Toolkit https: tools.cisco.com bugsearch ?referring_site=emd. If you still require assistance, open a case with the Technical Assistance Center via the Internet https: tools.cisco.com ServiceRequestTool scm mgmt case, or contact your Cisco technical support representative and provide the representative with the gathered information.",IB Stuck Pause Request Error in slot[dec] subslot[dec]: status reg @ [hex] = [hex]Ironbus Stuck Pause Request Error.,N,PXF_NICKEL-2-IB_ERR_SPR,PXF_NICKEL-2-IB_ERR_SPR,*PXF_NICKEL-2-IB_ERR_SPR*,2,0,0
"Monitor system to determine if this message is persistent.If this error is presistent (for example, it appears more than once or twice in a day), then there might be a hardware issue. Copy the message exactly as it appears on the console or in the system log. Research and attempt to resolve the issue using the tools and utilities provided athttp: www.cisco.com tac. With some messages, these tools and utilities will supply clarifying information. Also perform a search of the Bug Toolkithttps: tools.cisco.com bugsearch ?referring_site=emd. If you still require assistance, open a case with the Technical Assistance Center via the Internethttps: tools.cisco.com ServiceRequestTool scm mgmt case, or contact your Cisco technical support representative and provide the representative with the gathered information.",FTS [chars] Error: [dec] in nicket[dec] port[dec]Ingress Nickel-->Cobalt3 ASIC communication error.,N,PXF_NICKEL-3-FTS_ERROR,PXF_NICKEL-3-FTS_ERROR,*PXF_NICKEL-3-FTS_ERROR*,3,0,0
"Monitor system to determine if this error does not appear together with a PXF restart. If this error is presistent (for example, it appears more than once or twice in a day and it does not appear together with a PXF restart), then there might be a hardware issue. Copy the message exactly as it appears on the console or in the system log. Research and attempt to resolve the issue using the tools and utilities provided athttp: www.cisco.com tac. With some messages, these tools and utilities will supply clarifying information. Also perform a search of the Bug Toolkithttps: tools.cisco.com bugsearch ?referring_site=emd. If you still require assistance, open a case with the Technical Assistance Center via the Internethttps: tools.cisco.com ServiceRequestTool scm mgmt case, or contact your Cisco technical support representative and provide the representative with the gathered information.",STT [chars] Error: [dec] in nickel[dec] port[dec]Egress Cobalt3-->Nickel ASIC communication error.,N,PXF_NICKEL-3-STT_PORT_ERROR,PXF_NICKEL-3-STT_PORT_ERROR,*PXF_NICKEL-3-STT_PORT_ERROR*,3,0,0
"Monitor system to determine if this error message is persistent. If it s determined to be, contact Cisco TAC.",Egress Cobalt3-->Nickel ASIC communication error.,N,PXF_NICKEL-3-TBB_ERROR,PXF_NICKEL-3-TBB_ERROR,*PXF_NICKEL-3-TBB_ERROR*,3,0,0
"Since this can be cause be caused due to one-time Parity Event or a Software Issue, further investigation is required. It is recommended to contact TAC.","Since this can be cause be caused due to one-time Parity Event or a Software Issue, further investigation is required. It is recommended to contact TAC.",N,PXF-2-FAULT,PXF-2-FAULT,*PXF-2-FAULT*,2,0,0
It is recommended to re-seat the module.,"This error message occurs due the inability of the module to properly communicate with the backplane of the chassis due to mis-seating of the module. The problem is with the line card (mis-seated module), supervisor or the Data Bus.",N,PXF-DFC2-2-FAULT,PXF-DFC2-2-FAULT,*PXF-DFC*-2-FAULT*,2,0,0
1) Reduce the number of flow monitors 2) Use ACLs to filter down traffic collected by the flow monitor to only that of interest 3) Use more specific match criteria for the flow monitor 4) Lower the cache entries per flow monitor. Eg: flow monitor cache entries,"Netflow and Flexible Netflow configuration is using (76095076) bytes of data plane DRAM which exceeds the recommended maximum of (67108864) bytes. In addition, the device could crash due to memory exhaustion. This can be seen on IOS-XE devices including the ASR 1K and CSR 1000v. The default cache size may need to be lowered in later versions of code.",N,QFP_FNF-4-FNF_MEM_UPLIMIT_WARN,QFP_FNF-4-FNF_MEM_UPLIMIT_WARN,*QFP_FNF-4-FNF_MEM_UPLIMIT_WARN*,4,0,0
"Collect the following outputs and open a TAC case:
show platform hardware qfp active infrastructure exmem resource
show platform hardware qfp active infrastructure exmem statistics
show platform hardware qfp active infra exmem statistics user","The IRAM is the instruction memory for QFP software. In the event that DRAM is exhausted, available IRAM can be used. If the IRAM runs critically low on memory, you might see this error message. Memory allocation failures and traffic impacting events will occur if IRAM is fully exhausted.",N,QFPOOR-4-LOWRSRC_PERCENT,QFPOOR-4-LOWRSRC_PERCENT,*QFPOOR-4-LOWRSRC_PERCENT*,1,0,0
Copy the message exactly as it appears on the console or in the system log. It is recommended to reach out to TAC for further investigation.,Software error may have effected programming ACLs into the TCAM.,N,QM-2-BAD_TLV,QM-2-BAD_TLV,*QM-2-BAD_TLV*,2,0,0
No message is required,This is an informational message,Y,QM-2-CONFORM_ACTION_NE,QM-2-CONFORM_ACTION_NE,*QM-2-CONFORM_ACTION_NE*,2,0,0
Copy the message exactly as it appears on the console and contact Cisco touch for further assistance.,The Polaris Version 2 mode has full QoS support.,N,QM-2-QM_MODE_1,QM-2-QM_MODE_1,*QM-2-QM_MODE_1*,2,0,0
"Copy the message exactly as it appears on the console or in the system log. Enter the show tech-support command to gather data that may help identify the nature of the error. Research and attempt to resolve the issue using the tools and utilities provided at http: www.cisco.com tac. With some messages, these tools and utilities will supply clarifying information. Search for resolved software issues using the Bug Toolkit at https: tools.cisco.com bugsearch ?referring_site=emd. If you still require assistance, open a case with the Technical Assistance Center via the Internet at https: tools.cisco.com ServiceRequestTool scm mgmt case, or contact your Cisco technical support representative and provide the representative with the information you have gathered. Attach the following information to your case in nonzipped, plain-text (.txt) format: the output of the show logging and show tech-support commands and your pertinent troubleshooting logs.",A software error caused programming ACLs into the TCAM to fail.,Y,QM-2-TCAM_ERROR,QM-2-TCAM_ERROR,*QM-2-TCAM_ERROR*,2,0,0
Gather all the information and reach out to Cisco TAC.,This issue is related to Wireless Services Module (WiSM) configuration mismatch. The port and port-channel mentioned in the error message are directly tied to the WISM configuration.,N,QM-2-VLAN_BASED_MODE_ON_EC_MEMBER_PORT,QM-2-VLAN_BASED_MODE_ON_EC_MEMBER_PORT,*QM-2-VLAN_BASED_MODE_ON_EC_MEMBER_PORT*,2,0,0
"Instead of port based QoS, you can configure VLAN based QoS. Complete these steps:
1)Apply the service-policy to each VLAN configured on the Layer 2 switchport.
2)Remove the service-policy from each port that belongs to the specific VLAN.
3)Configure each Layer 2 switchport for VLAN based QoS with the mls qos vlan-based command.","Only a limited number of aggregate policers can be supported. On EARL7-based switches, this limit is 1023.",N,QM-4-AGG_POL_EXCEEDED,QM-4-AGG_POL_EXCEEDED,*QM-4-AGG_POL_EXCEEDED*,4,0,0
Reconfigure the class map or the policy map and reduce the number of QoS (Quality of Service) ACLs (Access Control List) or policers.,This message indicates that the policy map configuration has exceeded the limitation of the hardware.,N,QM-4-HARDWARE_NOT_SUPPORTED,QM-4-HARDWARE_NOT_SUPPORTED,*QM-4-HARDWARE_NOT_SUPPORTED*,4,0,0
NA, NA,Y,QM-4-TCAM_ENTRY,QM-4-TCAM_ENTRY,*QM-4-TCAM_ENTRY*,4,0,0
No action is required.,Log indicates that hardware TCAM mask entry capacity exceeded.,Y,QM-4-TCAM_MASK,QM-4-TCAM_MASK,*QM-4-TCAM_MASK*,4,0,0
